{'loss': '11.97', 'grad_norm': '0.3921', 'learning_rate': '1.997e-05', 'epoch': '0.003239'}
{'loss': '11.34', 'grad_norm': '0.4826', 'learning_rate': '1.994e-05', 'epoch': '0.006477'}
{'loss': '10.56', 'grad_norm': '0.4535', 'learning_rate': '1.992e-05', 'epoch': '0.009716'}
{'loss': '10.09', 'grad_norm': '0.5053', 'learning_rate': '1.988e-05', 'epoch': '0.01295'}
{'loss': '9.531', 'grad_norm': '0.4688', 'learning_rate': '1.985e-05', 'epoch': '0.01619'}
{'loss': '9.053', 'grad_norm': '0.4929', 'learning_rate': '1.982e-05', 'epoch': '0.01943'}
{'loss': '8.743', 'grad_norm': '0.4304', 'learning_rate': '1.979e-05', 'epoch': '0.02267'}
{'loss': '8.492', 'grad_norm': '0.313', 'learning_rate': '1.975e-05', 'epoch': '0.02591'}
{'loss': '8.446', 'grad_norm': '0.2966', 'learning_rate': '1.972e-05', 'epoch': '0.02915'}
{'loss': '8.332', 'grad_norm': '0.277', 'learning_rate': '1.969e-05', 'epoch': '0.03239'}
{'loss': '8.2', 'grad_norm': '0.3028', 'learning_rate': '1.966e-05', 'epoch': '0.03563'}
{'loss': '8.119', 'grad_norm': '0.4218', 'learning_rate': '1.962e-05', 'epoch': '0.03886'}
{'loss': '7.973', 'grad_norm': '1.112', 'learning_rate': '1.959e-05', 'epoch': '0.0421'}
{'loss': '8.065', 'grad_norm': '0.3609', 'learning_rate': '1.956e-05', 'epoch': '0.04534'}
{'loss': '7.984', 'grad_norm': '0.44', 'learning_rate': '1.953e-05', 'epoch': '0.04858'}
{'loss': '7.884', 'grad_norm': '0.2661', 'learning_rate': '1.949e-05', 'epoch': '0.05182'}
{'loss': '7.918', 'grad_norm': '0.2795', 'learning_rate': '1.946e-05', 'epoch': '0.05506'}
{'loss': '7.908', 'grad_norm': '0.4135', 'learning_rate': '1.943e-05', 'epoch': '0.0583'}
{'loss': '7.769', 'grad_norm': '0.3688', 'learning_rate': '1.94e-05', 'epoch': '0.06154'}
{'loss': '7.856', 'grad_norm': '0.5148', 'learning_rate': '1.937e-05', 'epoch': '0.06477'}
{'loss': '7.793', 'grad_norm': '0.7535', 'learning_rate': '1.933e-05', 'epoch': '0.06801'}
{'loss': '7.732', 'grad_norm': '0.4375', 'learning_rate': '1.93e-05', 'epoch': '0.07125'}
{'loss': '7.66', 'grad_norm': '0.4167', 'learning_rate': '1.927e-05', 'epoch': '0.07449'}
{'loss': '7.683', 'grad_norm': '0.5253', 'learning_rate': '1.924e-05', 'epoch': '0.07773'}
{'loss': '7.699', 'grad_norm': '0.4849', 'learning_rate': '1.92e-05', 'epoch': '0.08097'}
{'loss': '7.696', 'grad_norm': '0.494', 'learning_rate': '1.917e-05', 'epoch': '0.08421'}
{'loss': '7.617', 'grad_norm': '0.499', 'learning_rate': '1.914e-05', 'epoch': '0.08745'}
{'loss': '7.6', 'grad_norm': '0.4272', 'learning_rate': '1.911e-05', 'epoch': '0.09068'}
{'loss': '7.517', 'grad_norm': '0.4534', 'learning_rate': '1.907e-05', 'epoch': '0.09392'}
{'loss': '7.679', 'grad_norm': '0.4396', 'learning_rate': '1.904e-05', 'epoch': '0.09716'}
{'loss': '7.592', 'grad_norm': '0.6476', 'learning_rate': '1.901e-05', 'epoch': '0.1004'}
{'loss': '7.616', 'grad_norm': '0.6921', 'learning_rate': '1.898e-05', 'epoch': '0.1036'}
{'loss': '7.607', 'grad_norm': '0.5132', 'learning_rate': '1.894e-05', 'epoch': '0.1069'}
{'loss': '7.497', 'grad_norm': '0.3838', 'learning_rate': '1.891e-05', 'epoch': '0.1101'}
{'loss': '7.539', 'grad_norm': '0.5066', 'learning_rate': '1.888e-05', 'epoch': '0.1134'}
